t,accx,accy,accz,gyrox,gyroy,gyroz
389316,-0.000976562,-0.000488281,1.00049,0.190109,-0.126004,0.0241101
389326,-0.000732422,-0.000732422,1.00073,0.0985563,-0.126004,0.0851452
389336,-0.000732422,-0.000976562,1,0.00700355,-0.187039,-0.0369251
389346,-0.000732422,-0.000976562,0.999512,0.00700355,-0.0344515,-0.158995
389366,-0.0012207,-0.000732422,0.998779,-0.023514,0.0265837,-0.0369251
389376,-0.00146484,-0.000732422,0.999268,0.0375211,-0.0344515,-0.0369251
389386,-0.0012207,-0.000488281,0.999512,0.0375211,-0.0954866,-0.0979602
389396,-0.000976562,-0.000976562,0.999512,0.00700355,-0.126004,-0.128478
389406,-0.000732422,-0.000732422,0.999756,0.00700355,0.0265837,-0.158995
389416,-0.000732422,-0.000976562,0.999512,0.0985563,-0.0344515,0.115663
389426,-0.000976562,-0.000976562,1,-0.023514,0.0571012,-0.0674427
389446,-0.000976562,-0.000488281,0.999512,0.0985563,-0.217557,0.0851452
389456,-0.00146484,-0.000732422,0.999512,0.0375211,-0.217557,-0.0064075
389466,-0.000976562,-0.000732422,0.999756,0.129074,-0.0649691,-0.128478
389476,-0.000976562,-0.000732422,0.999756,0.0680387,-0.126004,-0.158995
389546,-0.000976562,-0.000976562,1.00073,0.129074,-0.156522,0.0241101
389646,-0.000488281,-0.000976562,1.00049,0.129074,-0.156522,-0.0979602
389676,-0.000488281,-0.000488281,1,0.159591,-0.0649691,-0.0369251
389706,0,0,1,0.220627,-0.217557,-0.0979602
389756,-0.000732422,-0.000732422,1,0.159591,-0.0344515,-0.0369251
389886,-0.000732422,-0.000976562,1.00024,0.0985563,0.0571012,-0.158995
389896,-0.000732422,-0.000976562,1.00024,-0.0540316,0.0571012,-0.128478
390066,-0.000488281,-0.000976562,0.999756,0.251144,-0.126004,-0.0979602
390166,-0.0012207,-0.000732422,1,0.0375211,-0.0344515,-0.250548
390246,-0.000488281,-0.000976562,1.00049,0.00700355,-0.0954866,-0.128478
390266,-0.000488281,-0.000488281,1.00098,-0.115067,-0.156522,-0.0674427
390276,-0.000488281,-0.000732422,1.00122,0.190109,-0.0344515,0.0241101
390366,-0.00170898,-0.000488281,1.00024,-0.0540316,-0.0649691,-0.158995
390426,-0.000976562,-0.000732422,1.00024,0.00700355,-0.126004,-0.220031
390476,-0.00146484,-0.000488281,0.999512,-0.115067,-0.0344515,-0.128478
390486,-0.0012207,-0.000244141,0.999512,0.0375211,-0.156522,-0.0369251
390536,-0.0012207,-0.000244141,1.00049,0.0375211,-0.126004,-0.158995
390556,-0.000732422,-0.000244141,1,0.0985563,-0.126004,0.0241101
390566,-0.000732422,-0.000488281,1.00073,0.129074,-0.00393391,-0.189513
390576,-0.000732422,-0.000244141,1.00049,0.0680387,-0.0649691,-0.128478
390586,-0.000976562,0,1.00073,0.0375211,-0.0649691,-0.128478
390596,-0.000976562,-0.000244141,1.00049,0.159591,0.148654,-0.128478
390606,-0.000732422,-0.000488281,1.00073,0.0375211,-0.0344515,-0.0674427
390616,-0.000488281,-0.000488281,1.00073,0.0985563,-0.187039,0.0241101
390626,-0.000732422,-0.000244141,1.00098,-0.176102,-0.0954866,-0.0979602
390636,-0.000976562,0,1.00122,-0.0540316,-0.0954866,-0.0979602
