t,accx,accy,accz,gyrox,gyroy,gyroz
46044,-0.000732422,-0.000244141,0.997314,-0.00292063,-0.0457764,0.115454
46054,-0.000488281,-0.000244141,0.997559,-0.0639558,-0.0152588,-0.0371337
46064,-0.000488281,-0.000732422,0.996582,-0.155509,-0.167847,-0.0981688
46074,-0.000244141,-0.000488281,0.996826,0.027597,-0.0152588,-0.0371337
46084,-0.000488281,-0.000488281,0.996826,-0.00292063,0.0152588,-0.0981688
46094,-0.000244141,-0.000244141,0.997559,-0.0334382,0.0762939,-0.00661612
46104,-0.000732422,-0.000244141,0.997803,0.0886321,0.0152588,0.0239015
46114,-0.000732422,0,0.997559,0.0581145,-0.106812,-0.220239
46124,-0.000976562,0,0.997559,0.149667,0.0762939,0.115454
46134,-0.000732422,-0.000244141,0.998047,0.149667,0.0152588,0.0239015
46144,-0.000488281,0,0.998047,0.0581145,0.0152588,0.0239015
46154,-0.000488281,0.000244141,0.997559,0.0581145,0.0762939,0.207007
46164,-0.000244141,0.000244141,0.998047,-0.124991,0.0152588,-0.128686
46174,-0.000244141,0.000488281,0.998291,0.0581145,-0.0762939,-0.00661612
46184,-0.000488281,0.000244141,0.998047,0.0886321,0.137329,-0.00661612
46194,-0.000488281,-0.000488281,0.997559,0.027597,0.137329,0.145972
46204,-0.000488281,-0.000488281,0.997314,0.0581145,0.0152588,0.054419
46214,-0.000488281,-0.000488281,0.99707,-0.00292063,-0.0152588,0.0239015
46224,-0.000488281,-0.000488281,0.996826,-0.0334382,0.0457764,-0.159204
46234,-0.000244141,0,0.996826,-0.00292063,-0.0152588,0.145972
46244,-0.000244141,0.000488281,0.997314,0.0581145,0.106812,0.145972
46254,-0.000488281,-0.000244141,0.997559,-0.0639558,0.0457764,0.0239015
46264,-0.000976562,-0.000244141,0.997803,0.0581145,0.167847,0.145972
46274,-0.000976562,0,0.997803,0.027597,-0.0152588,-0.0371337
46284,-0.000488281,0.000244141,0.997559,-0.0639558,-0.0152588,-0.00661612
46294,-0.000732422,0,0.997314,0.0886321,0.106812,-0.0371337
46304,-0.000732422,0.000244141,0.998047,0.027597,0.0152588,-0.0371337
46314,-0.000976562,0,0.997559,-0.0334382,0.0152588,0.0239015
46324,-0.0012207,0.000244141,0.997314,-0.216544,-0.0762939,-0.128686
46334,-0.0012207,0.000244141,0.996582,0.027597,0.289917,0.0849366
46344,-0.000732422,0.000488281,0.996582,-0.0334382,-0.137329,-0.0371337
46354,-0.000732422,0.000488281,0.996582,0.027597,0.137329,-0.159204
46364,-0.000976562,0.000244141,0.996094,0.0886321,0.106812,-0.0676513
46374,-0.000732422,0.000244141,0.996338,0.180185,0.106812,0.054419
46384,-0.000976562,0,0.996582,0.0581145,0.106812,-0.0371337
46394,-0.000732422,0,0.996094,-0.186026,-0.0152588,0.115454
46404,-0.000488281,0,0.996338,-0.0639558,-0.106812,-0.0371337
46414,-0.000488281,0,0.996094,0.180185,-0.0457764,-0.0981688
46424,-0.000244141,0,0.996338,-0.0639558,-0.0152588,0.115454
46434,-0.000244141,0,0.996582,0.0581145,-0.0457764,0.0849366
46444,-0.000488281,-0.000244141,0.99707,-0.0334382,0.0762939,0.145972
46454,-0.000244141,-0.000244141,0.997559,0.11915,-0.0762939,-0.00661612
46464,-0.000244141,-0.000244141,0.997314,0.210702,-0.0457764,-0.0981688
46474,-0.000732422,0,0.997559,0.11915,-0.0762939,0.054419
46484,-0.000732422,-0.000244141,0.997559,0.180185,0.0762939,0.0849366
46494,-0.000488281,0,0.997803,0.11915,0.0762939,0.0239015
46504,-0.000732422,-0.000244141,0.998291,0.027597,0.0457764,-0.128686
46514,-0.000732422,-0.000488281,0.998047,-0.0639558,-0.0457764,0.145972
46524,-0.000244141,-0.000732422,0.998291,0.027597,-0.0762939,0.054419
46534,0,-0.000732422,0.997803,0.027597,0.106812,0.054419
46544,-0.000244141,-0.000488281,0.99707,-0.0334382,-0.0152588,0.054419
46554,-0.000244141,-0.000488281,0.99707,-0.0334382,-0.0152588,-0.0981688
46564,-0.000244141,-0.000488281,0.996826,0.149667,-0.0152588,0.0849366
46574,0.000244141,-0.000488281,0.996338,0.11915,0.0457764,-0.0981688
46584,-0.000244141,-0.000488281,0.996582,-0.0639558,0.0152588,-0.0676513
46594,0,-0.000488281,0.996582,0.027597,-0.0152588,-0.00661612
46604,0.000488281,-0.000244141,0.996582,0.0581145,0.0457764,0.0849366
46614,0.000732422,0,0.996826,0.0886321,-0.0457764,-0.00661612
46624,0.000244141,-0.000244141,0.996826,-0.00292063,0.0457764,-0.00661612
46634,0.000244141,0,0.997559,-0.0944734,-0.106812,0.0849366
46644,0.000244141,0,0.996826,-0.0334382,0.0762939,-0.0981688
46654,-0.000244141,-0.000244141,0.996582,0.11915,0.0152588,0.0239015
46664,-0.000244141,-0.000488281,0.996826,-0.124991,0.198364,0.054419
46674,0,-0.000244141,0.996826,-0.0639558,0.0457764,-0.0676513
46684,0.000244141,-0.000244141,0.996338,0.11915,-0.0457764,-0.0981688
46694,0,-0.000488281,0.996582,0.0886321,-0.0762939,-0.0371337
46704,-0.000244141,-0.000244141,0.996826,-0.00292063,-0.167847,-0.00661612
46714,-0.000488281,-0.000244141,0.996826,-0.00292063,0.0762939,-0.00661612
46734,-0.000488281,-0.000244141,0.99585,0.027597,0.0762939,0.176489
46744,-0.000732422,-0.000244141,0.996094,0.149667,-0.0762939,0.054419
46754,-0.0012207,-0.000244141,0.996338,-0.0334382,-0.0152588,-0.00661612
46764,-0.000732422,-0.000244141,0.996826,0.0886321,-0.0152588,0.0239015
46774,-0.000244141,-0.000244141,0.996582,-0.0944734,0.0152588,0.054419
46784,0,-0.000488281,0.996582,0.0581145,0.0457764,0.268042
46794,-0.000244141,-0.000732422,0.99707,0.11915,-0.0762939,0.0849366
46804,-0.000244141,-0.000488281,0.996582,0.11915,0.0457764,0.054419
46814,-0.000488281,-0.000732422,0.996338,0.0886321,0.0762939,-0.128686
46824,-0.000488281,-0.000244141,0.996582,0.0886321,-0.106812,-0.0371337
46834,-0.000488281,0,0.996826,0.11915,0.0457764,0.115454
46844,-0.000732422,-0.000244141,0.99707,0.0581145,-0.0457764,-0.159204
46854,-0.000732422,-0.000244141,0.997314,0.0886321,0.0457764,0.145972
46864,-0.000732422,-0.000244141,0.996582,0.027597,-0.0762939,-0.00661612
46874,-0.000732422,0.000244141,0.997314,-0.00292063,-0.0152588,0.176489
46884,-0.000732422,0.000244141,0.996826,-0.0334382,0.0762939,0.207007
46894,-0.000732422,0,0.99707,-0.0334382,0.0457764,0.0239015
46904,-0.000976562,-0.000244141,0.996826,-0.00292063,-0.0762939,0.0239015
